Name,Family,Series,# of CPU Cores,# of Threads,Base Clock,Max. Boost Clock,L3 Cache,Default TDP,CPU Socket,Graphics Model,Graphics Core Count,Launch Date,manufacturer
,,Opteron 6200 Series,16,16,2.4 GHz,Up to 3.3 GHz,16 MB,115W,G34,,,,AMD
,,Opteron 6200 Series,16,16,2.3 GHz,Up to 3.2 GHz,16 MB,115W,G34,,,,AMD
,,Opteron 6200 Series,16,16,2.2 GHz,Up to 3.1 GHz,16 MB,115W,G34,,,,AMD
,,Opteron 6200 Series,16,16,2.1 GHz,Up to 3 GHz,16 MB,115W,G34,,,,AMD
,,Opteron 6200 Series,12,12,2.6 GHz,Up to 3.2 GHz,16 MB,115W,G34,,,,AMD
,,Opteron 6200 Series,12,12,2.4 GHz,Up to 3 GHz,16 MB,115W,G34,,,,AMD
,,Opteron 6200 Series,8,8,3 GHz,Up to 3.6 GHz,16 MB,115W,G34,,,,AMD
,,Opteron 6200 Series,8,8,2.6 GHz,Up to 3.2 GHz,16 MB,115W,G34,,,,AMD
,,Opteron 6200 Series,4,4,3.3 GHz,,16 MB,115W,G34,,,,AMD
,,Opteron 4200 Series,8,8,2.6 GHz,Up to 3.6 GHz,8 MB,65W,C32,,,,AMD
,,Opteron 4200 Series,8,8,2.5 GHz,Up to 3.5 GHz,8 MB,65W,C32,,,,AMD
,,Opteron 4200 Series,8,8,1.6 GHz,Up to 2.8 GHz,8 MB,35W,C32,,,,AMD
,,Opteron 4200 Series,6,6,2.9 GHz,Up to 3.7 GHz,8 MB,65W,C32,,,,AMD
,,Opteron 4200 Series,6,6,2.8 GHz,Up to 3.6 GHz,8 MB,65W,C32,,,,AMD
,,Opteron 4200 Series,8,8,3 GHz,Up to 3.7 GHz,8 MB,95W,C32,,,,AMD
,,Opteron 4200 Series,8,8,2.8 GHz,Up to 2.2 GHz,8 MB,95W,C32,,,,AMD
,,Opteron 4200 Series,6,6,3.4 GHz,Up to 3.8 GHz,8 MB,95W,C32,,,,AMD
,,Opteron 4200 Series,6,6,3.3 GHz,Up to 3.7 GHz,8 MB,95W,C32,,,,AMD
,,Opteron 4200 Series,6,6,3.1 GHz,Up to 3.5 GHz,8 MB,95W,C32,,,,AMD
,,Opteron 4200 Series,6,6,2.7 GHz,Up to 3.1 GHz,8 MB,95W,C32,,,,AMD
,,Opteron 3200 Series,4,4,2.7 GHz,Up to 3.7 GHz,4 MB,45W,AM3+,,,,AMD
,,Opteron 3200 Series,,,2.5 GHz,Up to 3.5 GHz,4 MB,45W,AM3+,,,,AMD
,,Opteron 3200 Series,8,8,2.4 GHz,Up to 3.4 GHz,8 MB,65W,AM3+,,,,AMD
,,Opteron 6100 Series,12,12,2.5 GHz,,12 MB,140W,G34,,,,AMD
,,Opteron 6100 Series,12,12,1.8 GHz,,12 MB,85W,G34,,,,AMD
,,Opteron 6100 Series,8,8,2.2 GHz,,12 MB,85W,G34,,,,AMD
,,Opteron 6100 Series,12,12,2.3 GHz,,12 MB,115W,G34,,,,AMD
,Ryzen,Ryzen 7000 Series,4,8,2.3 GHz,Up to 4.3 GHz,8 MB,15W,FP6,AMD Radeon™ Graphics,6,Q1 2023,AMD
,Ryzen,Ryzen 7000 Series,4,8,2.4 GHz,Up to 4.1 GHz,4 MB,15W,,AMD Radeon™ 610M,2,09/20/2022,AMD
,Ryzen,Ryzen 7000 Series,4,8,2.4 GHz,Up to 4.1 GHz,4 MB,15W,FT6,AMD Radeon™ 610M,2,05/23/2023,AMD
,Ryzen,Ryzen 7000 Series,4,8,3.2 GHz,Up to 4.2 GHz,8 MB,45W,FP7r2,Discrete Graphics Card Required,,,AMD
,Ryzen,Ryzen Z1,8,16,3.3 GHz,Up to 5.1 GHz,16 MB,28W,,AMD Radeon™ Graphics,12,,AMD
,Ryzen,Ryzen Z1,6,12,3.2 GHz,Up to 4.9 GHz,16 MB,28W,,AMD Radeon™ Graphics,4,,AMD
,Athlon,Athlon 7000 Series,2,4,2.4 GHz,Up to 3.7 GHz,4 MB,15W,,AMD Radeon™ 610M,2,,AMD
,Athlon,Athlon 7000 Series,2,4,2.4 GHz,Up to 3.7 GHz,2 MB,15W,FT6,AMD Radeon™ 610M,2,,AMD
,Athlon,Athlon 7000 Series,2,2,2.4 GHz,Up to 3.5 GHz,2 MB,15W,,AMD Radeon™ 610M,2,,AMD
,Athlon,Athlon 7000 Series,2,2,2.4 GHz,Up to 3.5 GHz,2 MB,15W,FT6,AMD Radeon™ 610M,2,,AMD
,Ryzen PRO,Ryzen PRO 6000 Series,8,16,3.3 GHz,Up to 4.9 GHz,16 MB,35W,,AMD Radeon™ 680M,12,,AMD
,Ryzen PRO,Ryzen PRO 6000 Series,8,16,3.3 GHz,Up to 4.9 GHz,16 MB,45W,,AMD Radeon™ 680M,12,,AMD
,Ryzen PRO,Ryzen PRO 6000 Series,8,16,2.7 GHz,Up to 4.75 GHz,16 MB,28W,,AMD Radeon™ 680M,12,,AMD
,Ryzen PRO,Ryzen PRO 6000 Series,8,16,2.7 GHz,Up to 4.7 GHz,16 MB,,,AMD Radeon™ 680M,12,,AMD
,Ryzen PRO,Ryzen PRO 6000 Series,8,16,3.2 GHz,Up to 4.7 GHz,16 MB,35W,,AMD Radeon™ 680M,12,,AMD
,Ryzen PRO,Ryzen PRO 6000 Series,8,16,3.2 GHz,Up to 4.7 GHz,16 MB,45W,,AMD Radeon™ 680M,12,,AMD
,Ryzen PRO,Ryzen PRO 6000 Series,6,12,2.9 GHz,Up to 4.5 GHz,16 MB,,,AMD Radeon™ 660M,6,04/19/2022,AMD
,Ryzen PRO,Ryzen PRO 6000 Series,6,12,3.3 GHz,Up to 4.5 GHz,16 MB,35W,,AMD Radeon™ 660M,6,,AMD
,Ryzen PRO,Ryzen PRO 6000 Series,6,12,3.3 GHz,Up to 4.5 GHz,16 MB,45W,,AMD Radeon™ 660M,6,,AMD
,Ryzen,Ryzen 6000 Series,8,16,3.3 GHz,Up to 5 GHz,16 MB,45W,FP7,AMD Radeon™ 680M,12,,AMD
,Ryzen,Ryzen 6000 Series,8,16,3.3 GHz,Up to 5 GHz,16 MB,35W,FP7,AMD Radeon™ 680M,12,,AMD
,Ryzen,Ryzen 6000 Series,8,16,3.3 GHz,Up to 4.9 GHz,16 MB,45W,FP7,AMD Radeon™ 680M,12,,AMD
,Ryzen,Ryzen 6000 Series,8,16,3.3 GHz,Up to 4.9 GHz,16 MB,35W,,AMD Radeon™ 680M,12,,AMD
,Ryzen,Ryzen 6000 Series,8,16,2.7 GHz,Up to 4.7 GHz,16 MB,,FP7,AMD Radeon™ 680M,12,04/19/2022,AMD
,Ryzen,Ryzen 6000 Series,8,16,3.2 GHz,Up to 4.7 GHz,16 MB,35W,FP7,AMD Radeon™ 680M,12,,AMD
,Ryzen,Ryzen 6000 Series,8,16,3.2 GHz,Up to 4.7 GHz,16 MB,45W,FP7,AMD Radeon™ 680M,12,,AMD
,Ryzen,Ryzen 6000 Series,6,12,2.9 GHz,Up to 4.5 GHz,16 MB,,FP7,AMD Radeon™ 660M,6,04/19/2022,AMD
,Ryzen,Ryzen 6000 Series,6,12,3.3 GHz,Up to 4.5 GHz,16 MB,35W,FP7,AMD Radeon™ 660M,6,,AMD
,Ryzen,Ryzen 6000 Series,6,12,3.3 GHz,Up to 4.5 GHz,16 MB,45W,FP7,AMD Radeon™ 660M,6,,AMD
,Ryzen Threadripper PRO,Ryzen Threadripper PRO 5000 WX-Series,64,128,2.7 GHz,Up to 4.5 GHz,256 MB,280W,sWRX8,Discrete Graphics Card Required,,03/08/2022,AMD
,Ryzen Threadripper PRO,Ryzen Threadripper PRO 5000 WX-Series,32,64,3.6 GHz,Up to 4.5 GHz,128 MB,280W,sWRX8,Discrete Graphics Card Required,,03/08/2022,AMD
,Ryzen Threadripper PRO,Ryzen Threadripper PRO 5000 WX-Series,24,48,3.8 GHz,Up to 4.5 GHz,128 MB,280W,sWRX8,Discrete Graphics Card Required,,03/08/2022,AMD
,Ryzen Threadripper PRO,Ryzen Threadripper PRO 5000 WX-Series,16,32,4 GHz,Up to 4.5 GHz,64 MB,280W,sWRX8,Discrete Graphics Card Required,,03/08/2022,AMD
,Ryzen Threadripper PRO,Ryzen Threadripper PRO 5000 WX-Series,12,24,4.1 GHz,Up to 4.5 GHz,64 MB,280W,sWRX8,Discrete Graphics Card Required,,03/08/2022,AMD
,Ryzen PRO,Ryzen PRO 5000 Series,12,24,3 GHz,Up to 4.7 GHz,64 MB,65W,AM4,,,,AMD
,Ryzen PRO,Ryzen PRO 5000 Series,8,16,2 GHz,Up to 4.5 GHz,16 MB,15W,FP6,AMD Radeon™ Graphics,8,01/30/2022,AMD
,Ryzen PRO,Ryzen PRO 5000 Series,8,16,1.9 GHz,Up to 4.4 GHz,16 MB,15W,FP6,AMD Radeon™ Graphics,8,3/16/2021,AMD
,Ryzen PRO,Ryzen PRO 5000 Series,8,16,3.4 GHz,Up to 4.6 GHz,32 MB,65W,AM4,,,,AMD
,Ryzen PRO,Ryzen PRO 5000 Series,8,16,3.2 GHz,Up to 4.6 GHz,16 MB,35W,AM4,Radeon™ Graphics,8,9/5/2024,AMD
,Ryzen PRO,Ryzen PRO 5000 Series,8,16,3.8 GHz,Up to 4.6 GHz,16 MB,65W,AM4,Radeon™ Graphics,8,9/5/2024,AMD
,Ryzen PRO,Ryzen PRO 5000 Series,8,16,3.2 GHz,Up to 4.6 GHz,16 MB,35W,AM4,Radeon™  Graphics,8,6/1/2021,AMD
,Ryzen PRO,Ryzen PRO 5000 Series,8,16,3.8 GHz,Up to 4.6 GHz,16 MB,65W,AM4,Radeon™  Graphics,8,6/1/2021,AMD
,Ryzen PRO,Ryzen PRO 5000 Series,6,12,2.3 GHz,Up to 4.3 GHz,16 MB,15W,FP6,AMD Radeon™ Graphics,7,01/30/2022,AMD
,Ryzen PRO,Ryzen PRO 5000 Series,6,12,3.4 GHz,Up to 4.4 GHz,16 MB,35W,AM4,Radeon™  Graphics,7,5/7/2024,AMD
,Ryzen PRO,Ryzen PRO 5000 Series,6,12,3.9 GHz,Up to 4.4 GHz,16 MB,65W,AM4,Radeon™  Graphics,7,5/7/2024,AMD
,Ryzen PRO,Ryzen PRO 5000 Series,6,12,2.3 GHz,Up to 4.2 GHz,16 MB,15W,FP6,AMD Radeon™ Graphics,7,3/16/2021,AMD
,Ryzen PRO,Ryzen PRO 5000 Series,6,12,3.4 GHz,Up to 4.4 GHz,16 MB,35W,AM4,Radeon™  Graphics,7,6/1/2021,AMD
,Ryzen PRO,Ryzen PRO 5000 Series,6,12,3.9 GHz,Up to 4.4 GHz,16 MB,65W,AM4,Radeon™  Graphics,7,6/1/2021,AMD
,Ryzen PRO,Ryzen PRO 5000 Series,6,12,3.7 GHz,Up to 4.6 GHz,32 MB,65W,AM4,,,,AMD
,Ryzen PRO,Ryzen PRO 5000 Series,4,8,2.7 GHz,Up to 4.1 GHz,8 MB,15W,FP6,AMD Radeon™ Graphics,6,01/30/2022,AMD
,Ryzen PRO,Ryzen PRO 5000 Series,4,8,2.6 GHz,Up to 4 GHz,8 MB,15W,FP6,AMD Radeon™ Graphics,6,3/16/2021,AMD
,Ryzen PRO,Ryzen PRO 5000 Series,4,8,3.6 GHz,Up to 4.2 GHz,8 MB,35W,AM4,Radeon™  Graphics,6,9/5/2024,AMD
,Ryzen PRO,Ryzen PRO 5000 Series,4,8,4 GHz,Up to 4.2 GHz,8 MB,65W,AM4,Radeon™  Graphics,6,9/5/2024,AMD
,Ryzen PRO,Ryzen PRO 5000 Series,4,8,3.6 GHz,Up to 4.2 GHz,8 MB,35W,AM4,Radeon™  Graphics,6,6/1/2021,AMD
,Ryzen PRO,Ryzen PRO 5000 Series,4,8,4 GHz,Up to 4.2 GHz,8 MB,65W,AM4,Radeon™  Graphics,6,6/1/2021,AMD
,Ryzen,Ryzen 5000 Series,8,16,3.3 GHz,Up to 4.8 GHz,16 MB,45+W,FP6,AMD Radeon™ Graphics,8,1/12/2021,AMD
,Ryzen,Ryzen 5000 Series,8,16,3 GHz,Up to 4.8 GHz,16 MB,35W,FP6,AMD Radeon™ Graphics,8,1/12/2021,AMD
,Ryzen,Ryzen 5000 Series,16,32,3.4 GHz,Up to 4.9 GHz,64 MB,105W,AM4,Discrete Graphics Card Required,,11/5/2020,AMD
,Ryzen,Ryzen 5000 Series,16,32,3.3 GHz,Up to 4.8 GHz,64 MB,105W,AM4,Discrete Graphics Card Required,,07/31/2024,AMD
,Ryzen,Ryzen 5000 Series,12,24,3.7 GHz,Up to 4.8 GHz,64 MB,105W,AM4,Discrete Graphics Card Required,,11/5/2020,AMD
,Ryzen,Ryzen 5000 Series,8,16,3.3 GHz,Up to 4.6 GHz,16 MB,45+W,FP6,AMD Radeon™ Graphics,8,1/12/2021,AMD
,Ryzen,Ryzen 5000 Series,8,16,3 GHz,Up to 4.6 GHz,16 MB,35W,FP6,AMD Radeon™ Graphics,,1/12/2021,AMD
,Ryzen,Ryzen 5000 Series,12,24,3 GHz,Up to 4.7 GHz,64 MB,65W,AM4,Discrete Graphics Card Required,,1/12/2021,AMD
,Ryzen,Ryzen 5000 Series,8,16,2 GHz,Up to 4.5 GHz,16 MB,15W,FP6,AMD Radeon™ Graphics,8,01/30/2022,AMD
,Ryzen,Ryzen 5000 Series,8,16,2 GHz,Up to 4.5 GHz,16 MB,15W,FP6,AMD Radeon™ Graphics,8,,AMD
,Ryzen,Ryzen 5000 Series,8,16,3.4 GHz,Up to 4.5 GHz,96 MB,105W,AM4,Discrete Graphics Card Required,,,AMD
,Ryzen,Ryzen 5000 Series,8,16,3.8 GHz,Up to 4.8 GHz,32 MB,105W,AM4,Discrete Graphics Card Required,,07/31/2024,AMD
,Ryzen,Ryzen 5000 Series,8,16,3.8 GHz,Up to 4.7 GHz,32 MB,105W,AM4,Discrete Graphics Card Required,,11/5/2020,AMD
,Ryzen,Ryzen 5000 Series,8,16,1.9 GHz,Up to 4.4 GHz,16 MB,15W,FP6,AMD Radeon™ Graphics,8,1/12/2021,AMD
,Ryzen,Ryzen 5000 Series,8,16,2.8 GHz,Up to 4.4 GHz,16 MB,35W,FP6,AMD Radeon™ Graphics,8,1/12/2021,AMD
,Ryzen,Ryzen 5000 Series,8,16,3.2 GHz,Up to 4.4 GHz,16 MB,45W,FP6,AMD Radeon™ Graphics,8,1/12/2021,AMD
,Ryzen,Ryzen 5000 Series,8,16,3.4 GHz,Up to 4.6 GHz,32 MB,65W,AM4,Discrete Graphics Card Required,,1/12/2021,AMD
,Ryzen,Ryzen 5000 Series,8,16,3.2 GHz,Up to 4.6 GHz,16 MB,35W,AM4,Radeon™ Graphics,8,,AMD
,Ryzen,Ryzen 5000 Series,8,16,3.8 GHz,Up to 4.6 GHz,16 MB,65W,AM4,Radeon™ Graphics,8,,AMD
,Ryzen,Ryzen 5000 Series,8,16,3 GHz,Up to 4.1 GHz,96 MB,105W,AM4,Discrete Graphics Card Required,,01/08/2024,AMD
,Ryzen,Ryzen 5000 Series,8,16,3.4 GHz,Up to 4.6 GHz,32 MB,65W,AM4,Discrete Graphics Card Required,,04/04/2022,AMD
,Ryzen,Ryzen 5000 Series,8,16,1.8 GHz,Up to 4.3 GHz,8 MB,15W,FP6,AMD Radeon™ Graphics,8,1/12/2021,AMD
,Ryzen,Ryzen 5000 Series,8,16,3.2 GHz,Up to 4.6 GHz,16 MB,35W,AM4,Radeon™  Graphics,8,4/13/2021,AMD
,Ryzen,Ryzen 5000 Series,8,16,3.8 GHz,Up to 4.6 GHz,16 MB,65W,AM4,Radeon™  Graphics,8,4/13/2021,AMD
,Ryzen,Ryzen 5000 Series,8,16,3.7 GHz,Up to 4.6 GHz,16 MB,65W,AM4,Discrete Graphics Card Required,,01/31/2024,AMD
,Ryzen,Ryzen 5000 Series,6,12,2.3 GHz,Up to 4.3 GHz,16 MB,15W,FP6,AMD Radeon™ Graphics,7,01/30/2022,AMD
,Ryzen,Ryzen 5000 Series,6,12,2.3 GHz,Up to 4.3 GHz,16 MB,15W,FP6,AMD Radeon™ Graphics,7,,AMD
,Ryzen,Ryzen 5000 Series,6,12,3.4 GHz,Up to 4.4 GHz,16 MB,35W,AM4,Radeon™ Graphics,7,,AMD
,Ryzen,Ryzen 5000 Series,6,12,3.9 GHz,Up to 4.4 GHz,16 MB,65W,AM4,Radeon™ Graphics,7,,AMD
,Ryzen,Ryzen 5000 Series,6,12,3.3 GHz,Up to 4.4 GHz,96 MB,105W,AM4,Discrete Graphics Card Required,,07/07/2023,AMD
,Ryzen,Ryzen 5000 Series,6,12,3.7 GHz,Up to 4.6 GHz,32 MB,65W,AM4,Discrete Graphics Card Required,,11/5/2020,AMD
,Ryzen,Ryzen 5000 Series,6,12,2.3 GHz,Up to 4.2 GHz,16 MB,15W,FP6,AMD Radeon™ Graphics,7,1/12/2021,AMD
,Ryzen,Ryzen 5000 Series,6,12,3 GHz,Up to 4.2 GHz,16 MB,35W,FP6,AMD Radeon™ Graphics,7,1/12/2021,AMD
,Ryzen,Ryzen 5000 Series,6,12,3.3 GHz,Up to 4.2 GHz,16 MB,45W,FP6,AMD Radeon™ Graphics,7,1/12/2021,AMD
,Ryzen,Ryzen 5000 Series,6,12,3.7 GHz,Up to 4.7 GHz,32 MB,65W,AM4,Discrete Graphics Card Required,,10/31/2024,AMD
,Ryzen,Ryzen 5000 Series,6,12,3.5 GHz,Up to 4.5 GHz,32 MB,65W,AM4,Discrete Graphics Card Required,,10/31/2024,AMD
,Ryzen,Ryzen 5000 Series,6,12,3.6 GHz,Up to 4.6 GHz,16 MB,65W,AM4,Radeon™ Graphics,7,01/08/2024,AMD
,Ryzen,Ryzen 5000 Series,6,12,3.4 GHz,Up to 4.4 GHz,16 MB,35W,AM4,Radeon™  Graphics,7,4/13/2021,AMD
,Ryzen,Ryzen 5000 Series,6,12,3.9 GHz,Up to 4.4 GHz,16 MB,65W,AM4,Radeon™  Graphics,7,4/13/2021,AMD
,Ryzen,Ryzen 5000 Series,6,12,3.5 GHz,Up to 4.4 GHz,32 MB,65W,AM4,Discrete Graphics Card Required,,04/04/2022,AMD
,Ryzen,Ryzen 5000 Series,6,12,2.3 GHz,Up to 4 GHz,8 MB,15W,FP6,AMD Radeon™  Graphics,6,01/12/2021,AMD
,Ryzen,Ryzen 5000 Series,6,12,2.1 GHz,Up to 4 GHz,8 MB,15W,FP6,AMD Radeon™ Graphics,7,1/12/2021,AMD
,Ryzen,Ryzen 5000 Series,4,8,3.3 GHz,Up to 4.2 GHz,8 MB,45W,FP6,AMD Radeon™ Graphics,6,06/23/2023,AMD
,Ryzen,Ryzen 5000 Series,6,12,3.6 GHz,Up to 4.4 GHz,16 MB,65W,AM4,Radeon™ Graphics,7,01/08/2024,AMD
,Ryzen,Ryzen 5000 Series,6,12,3.6 GHz,Up to 4.2 GHz,16 MB,65W,AM4,Discrete Graphics Card Required,,04/04/2022,AMD
,Ryzen,Ryzen 5000 Series,4,8,2.7 GHz,Up to 4.1 GHz,8 MB,15W,FP6,AMD Radeon™ Graphics,6,01/30/2022,AMD
,Ryzen,Ryzen 5000 Series,4,8,2.7 GHz,Up to 4.1 GHz,8 MB,15W,FP6,AMD Radeon™ Graphics,6,,AMD
,Ryzen,Ryzen 5000 Series,4,8,2.6 GHz,Up to 4 GHz,8 MB,15W,FP6,AMD Radeon™ Graphics,6,1/12/2021,AMD
,Ryzen,Ryzen 5000 Series,4,8,3.6 GHz,Up to 4.2 GHz,8 MB,35W,AM4,Radeon™ Graphics,6,,AMD
,Ryzen,Ryzen 5000 Series,4,8,4 GHz,Up to 4.2 GHz,8 MB,65W,AM4,Radeon™ Graphics,6,,AMD
,Ryzen,Ryzen 5000 Series,4,8,2.6 GHz,Up to 3.8 GHz,4 MB,15W,FP6,AMD Radeon™ Graphics,6,1/12/2021,AMD
,Ryzen,Ryzen 5000 Series,4,8,3.6 GHz,Up to 4.2 GHz,8 MB,35W,AM4,Radeon™  Graphics,6,4/13/2021,AMD
,Ryzen,Ryzen 5000 Series,4,8,4 GHz,Up to 4.2 GHz,8 MB,65W,AM4,Radeon™  Graphics,6,4/13/2021,AMD
,Ryzen,Ryzen 5000 Series,2,4,3 GHz,Up to 3 GHz,8 MB,15W,FP6,AMD Radeon™ Graphics,3,05/05/2022,AMD
,Ryzen PRO,Ryzen PRO 4000 Series,8,16,1.7 GHz,Up to 4.1 GHz,8 MB,15W,FP6,AMD Radeon™ Graphics,7,5/7/2020,AMD
,Ryzen PRO,Ryzen PRO 4000 Series,8,16,3.1 GHz,Up to 4.3 GHz,8 MB,35W,AM4,Radeon™ Graphics,8,7/21/2020,AMD
,Ryzen PRO,Ryzen PRO 4000 Series,8,16,3.6 GHz,Up to 4.4 GHz,8 MB,65W,AM4,Radeon™ Graphics,8,7/21/2020,AMD
,Ryzen PRO,Ryzen PRO 4000 Series,6,12,3.3 GHz,Up to 4.2 GHz,8 MB,35W,AM4,Radeon™ Graphics,7,11/11/2022,AMD
,Ryzen PRO,Ryzen PRO 4000 Series,6,12,3.7 GHz,Up to 4.2 GHz,8 MB,65W,AM4,Radeon™ Graphics,7,11/11/2022,AMD
,Ryzen PRO,Ryzen PRO 4000 Series,6,12,2.1 GHz,Up to 4 GHz,8 MB,15W,FP6,AMD Radeon™ Graphics,6,5/7/2020,AMD
,Ryzen PRO,Ryzen PRO 4000 Series,6,12,3.3 GHz,Up to 4.2 GHz,8 MB,35W,AM4,Radeon™ Graphics,7,7/21/2020,AMD
,Ryzen PRO,Ryzen PRO 4000 Series,6,12,3.7 GHz,Up to 4.2 GHz,8 MB,65W,AM4,Radeon™ Graphics,7,7/21/2020,AMD
,Ryzen PRO,Ryzen PRO 4000 Series,4,8,2.5 GHz,Up to 3.7 GHz,4 MB,15W,FP6,AMD Radeon™ Graphics,5,5/7/2020,AMD
,Ryzen PRO,Ryzen PRO 4000 Series,4,8,3.5 GHz,Up to 4 GHz,4 MB,35W,AM4,Radeon™ Vega 6 Graphics,6,Q4 2022,AMD
,Ryzen PRO,Ryzen PRO 4000 Series,4,8,3.8 GHz,Up to 4 GHz,4 MB,65W,AM4,Radeon™ Graphics,6,Q4 2022,AMD
,Ryzen PRO,Ryzen PRO 4000 Series,4,8,3.5 GHz,Up to 4 GHz,4 MB,35W,AM4,Radeon™ Vega 6 Graphics,6,7/21/2020,AMD
,Ryzen PRO,Ryzen PRO 4000 Series,4,8,3.8 GHz,Up to 4 GHz,4 MB,65W,AM4,Radeon™ Graphics,6,7/21/2020,AMD
,Ryzen,Ryzen 4000 Series,8,16,3 GHz,Up to 4.3 GHz,8 MB,35W,FP6,AMD Radeon™ Graphics,8,,AMD
,Ryzen,Ryzen 4000 Series,8,16,3.3 GHz,Up to 4.4 GHz,8 MB,35-54W,FP6,AMD Radeon™ Graphics,8,3/16/2020,AMD
,Ryzen,Ryzen 4000 Series,8,16,2 GHz,Up to 4.4 GHz,8 MB,15W,FP6,Radeon™  Graphics,8,4/13/2021,AMD
,Ryzen,Ryzen 4000 Series,8,16,1.8 GHz,Up to 4.2 GHz,8 MB,15W,FP6,AMD Radeon™ Graphics,8,1/6/2020,AMD
,Ryzen,Ryzen 4000 Series,8,16,2.9 GHz,Up to 4.2 GHz,8 MB,45W,FP6,AMD Radeon™ Graphics,7,,AMD
,Ryzen,Ryzen 4000 Series,8,16,2.9 GHz,Up to 4.2 GHz,8 MB,45W,FP6,AMD Radeon™ Graphics,7,1/6/2020,AMD
,Ryzen,Ryzen 4000 Series,8,8,2 GHz,Up to 4.1 GHz,8 MB,15W,FP6,AMD Radeon™ Graphics,7,1/6/2020,AMD
,Ryzen,Ryzen 4000 Series,8,16,3.1 GHz,Up to 4.3 GHz,8 MB,35W,AM4,Radeon™  Graphics,8,7/21/2020,AMD
,Ryzen,Ryzen 4000 Series,8,16,3.6 GHz,Up to 4.4 GHz,8 MB,65W,AM4,Radeon™ Graphics,8,7/21/2020,AMD
,Ryzen,Ryzen 4000 Series,6,12,2.2 GHz,Up to 4 GHz,8 MB,15W,FP6,Radeon™  Graphics,7,4/13/2021,AMD
,Ryzen,Ryzen 4000 Series,6,12,2.1 GHz,Up to 4 GHz,8 MB,15W,FP6,AMD Radeon™ Graphics,6,1/6/2020,AMD
,Ryzen,Ryzen 4000 Series,6,12,3 GHz,Up to 4 GHz,8 MB,45W,FP6,AMD Radeon™ Graphics,6,1/6/2020,AMD
,Ryzen,Ryzen 4000 Series,6,12,3.3 GHz,Up to 4.2 GHz,8 MB,35W,AM4,Radeon™  Graphics,7,7/21/2020,AMD
,Ryzen,Ryzen 4000 Series,6,12,3.7 GHz,Up to 4.2 GHz,8 MB,65W,AM4,Radeon™  Graphics,7,7/21/2020,AMD
,Ryzen,Ryzen 4000 Series,6,6,2.3 GHz,Up to 4 GHz,8 MB,15W,FP6,AMD Radeon™ Graphics,6,1/6/2020,AMD
,Ryzen,Ryzen 4000 Series,6,12,3.6 GHz,Up to 4.1 GHz,8 MB,65W,AM4,Discrete Graphics Card Required,,04/04/2022,AMD
,Ryzen,Ryzen 4000 Series,4,4,2.7 GHz,Up to 3.7 GHz,4 MB,15W,FP6,AMD Radeon™ Graphics,5,1/6/2020,AMD
,Ryzen,Ryzen 4000 Series,4,8,3.5 GHz,Up to 4 GHz,4 MB,35W,AM4,Radeon™  Graphics,6,7/21/2020,AMD
,Ryzen,Ryzen 4000 Series,4,8,3.8 GHz,Up to 4 GHz,4 MB,65W,AM4,Radeon™  Graphics,6,7/21/2020,AMD
,Ryzen,Ryzen 4000 Series,4,8,3.8 GHz,Up to 4 GHz,4 MB,65W,AM4,Discrete Graphics Card Required,,04/04/2022,AMD
,Ryzen Threadripper PRO,Ryzen Threadripper PRO 3000 WX-Series,64,128,2.7 GHz,Up to 4.2 GHz,256 MB,280W,sWRX8,Discrete Graphics Card Required,,7/14/2020,AMD
,Ryzen Threadripper PRO,Ryzen Threadripper PRO 3000 WX-Series,32,64,3.5 GHz,Up to 4.2 GHz,128 MB,280W,sWRX8,Discrete Graphics Card Required,,7/14/2020,AMD
,Ryzen Threadripper PRO,Ryzen Threadripper PRO 3000 WX-Series,16,32,3.9 GHz,Up to 4.3 GHz,64 MB,280W,sWRX8,Discrete Graphics Card Required,,7/14/2020,AMD
,Ryzen Threadripper PRO,Ryzen Threadripper PRO 3000 WX-Series,12,24,4 GHz,Up to 4.3 GHz,64 MB,280W,,Discrete Graphics Card Required,,7/14/2020,AMD
,Ryzen Threadripper,Ryzen Threadripper 3000 Series,64,128,2.9 GHz,Up to 4.3 GHz,256 MB,280W,sTRX4,Discrete Graphics Card Required,,02/07/2020,AMD
,Ryzen Threadripper,Ryzen Threadripper 3000 Series,32,64,3.7 GHz,Up to 4.5 GHz,128 MB,280W,sTRX4,Discrete Graphics Card Required,,11/25/2019,AMD
,Ryzen Threadripper,Ryzen Threadripper 3000 Series,24,48,3.8 GHz,Up to 4.5 GHz,128 MB,280W,sTRX4,Discrete Graphics Card Required,,11/25/2019,AMD
,Ryzen PRO,Ryzen PRO 3000 Series,12,24,3.1 GHz,Up to 4.3 GHz,64 MB,65W,AM4,Discrete Graphics Card Required,,9/30/2019,AMD
,Ryzen PRO,Ryzen PRO 3000 Series,4,8,2.3 GHz,Up to 4 GHz,4 MB,15W,FP5,Radeon™ Vega 10 Graphics,10,4/8/2019,AMD
,Ryzen PRO,Ryzen PRO 3000 Series,8,16,3.6 GHz,Up to 4.4 GHz,32 MB,65W,AM4,Discrete Graphics Card Required,,9/30/2019,AMD
,Ryzen PRO,Ryzen PRO 3000 Series,6,12,3.6 GHz,Up to 4.2 GHz,32 MB,65W,AM4,Discrete Graphics Card Required,,9/30/2019,AMD
